Numero de documentos del corpus :9688
N�mero de palabras del corpus:112947
Palabra:woman	Frec:14.0	LogProb:-9.085041664278137
Palabra:heyyyyyyyywats	Frec:1.0	LogProb:-11.099944684820402
Palabra:ping	Frec:1.0	LogProb:-11.099944684820402
Palabra:pint	Frec:1.0	LogProb:-11.099944684820402
Palabra:cameras	Frec:2.0	LogProb:-10.694479576712236
Palabra:bothering	Frec:1.0	LogProb:-11.099944684820402
Palabra:honesty	Frec:4.0	LogProb:-10.183653952946246
Palabra:gots	Frec:1.0	LogProb:-11.099944684820402
Palabra:fraternity	Frec:1.0	LogProb:-11.099944684820402
Palabra:Richard	Frec:3.0	LogProb:-10.406797504260457
Palabra:rote	Frec:1.0	LogProb:-11.099944684820402
Palabra:Natives	Frec:1.0	LogProb:-11.099944684820402
Palabra:O'Donnell	Frec:1.0	LogProb:-11.099944684820402
Palabra:roadlol	Frec:1.0	LogProb:-11.099944684820402
Palabra:what're	Frec:2.0	LogProb:-10.694479576712236
Palabra:IRONMAN	Frec:1.0	LogProb:-11.099944684820402
Palabra:taller	Frec:2.0	LogProb:-10.694479576712236
Palabra:cnn	Frec:1.0	LogProb:-11.099944684820402
Palabra:gaming	Frec:1.0	LogProb:-11.099944684820402
Palabra:winamp	Frec:1.0	LogProb:-11.099944684820402
Palabra:question	Frec:61.0	LogProb:-7.665957480335255
Palabra:gota	Frec:1.0	LogProb:-11.099944684820402
Palabra:Four	Frec:1.0	LogProb:-11.099944684820402
Palabra:cnt	Frec:5.0	LogProb:-10.001332396152291
Palabra:Longest	Frec:1.0	LogProb:-11.099944684820402
Palabra:read/watched	Frec:1.0	LogProb:-11.099944684820402
Palabra:picture	Frec:15.0	LogProb:-9.020503143140566
Palabra:aboustly	Frec:1.0	LogProb:-11.099944684820402
Palabra:elmn8	Frec:1.0	LogProb:-11.099944684820402
Palabra:tenderloin	Frec:1.0	LogProb:-11.099944684820402
Palabra:nationalitytehehehe	Frec:1.0	LogProb:-11.099944684820402
Palabra:stressful	Frec:3.0	LogProb:-10.406797504260457
Palabra:yyyyou	Frec:1.0	LogProb:-11.099944684820402
Palabra:Ale	Frec:1.0	LogProb:-11.099944684820402
Palabra:com	Frec:2.0	LogProb:-10.694479576712236
Palabra:All	Frec:16.0	LogProb:-8.95987852132413
Palabra:rooting	Frec:3.0	LogProb:-10.406797504260457
Palabra:coo	Frec:1.0	LogProb:-11.099944684820402
Palabra:cop	Frec:2.0	LogProb:-10.694479576712236
Palabra:cos	Frec:2.0	LogProb:-10.694479576712236
Palabra:Dirt	Frec:1.0	LogProb:-11.099944684820402
Palabra:skippingwhich	Frec:1.0	LogProb:-11.099944684820402
Palabra:cow	Frec:3.0	LogProb:-10.406797504260457
Palabra:shrines	Frec:1.0	LogProb:-11.099944684820402
Palabra:madman	Frec:1.0	LogProb:-11.099944684820402
Palabra:Kool-Aid	Frec:1.0	LogProb:-11.099944684820402
Palabra:&amp;i	Frec:2.0	LogProb:-10.694479576712236
Palabra:coz	Frec:8.0	LogProb:-9.595867288044127
Palabra:grudges	Frec:1.0	LogProb:-11.099944684820402
Palabra:TAT;;	Frec:1.0	LogProb:-11.099944684820402
Palabra:time:	Frec:1.0	LogProb:-11.099944684820402
Palabra:pipe	Frec:4.0	LogProb:-10.183653952946246
Palabra:Plus	Frec:4.0	LogProb:-10.183653952946246
Palabra:buncha	Frec:3.0	LogProb:-10.406797504260457
Palabra:sneaky	Frec:1.0	LogProb:-11.099944684820402
Palabra:circumstances	Frec:2.0	LogProb:-10.694479576712236
Palabra:initials	Frec:3.0	LogProb:-10.406797504260457
Palabra:plenty	Frec:5.0	LogProb:-10.001332396152291
