Numero de documentos del corpus :6747
N�mero de palabras del corpus:97247
Palabra:women	Frec:11.0	LogProb:-9.400202868721731
Palabra:Ray.	Frec:3.0	LogProb:-10.49881515738984
Palabra:OMG...Margeaux	Frec:3.0	LogProb:-10.49881515738984
Palabra:pink	Frec:6.0	LogProb:-9.939199369454418
Palabra:bawling.	Frec:3.0	LogProb:-10.49881515738984
Palabra:woman	Frec:11.0	LogProb:-9.400202868721731
Palabra:faking	Frec:3.0	LogProb:-10.49881515738984
Palabra:ping	Frec:3.0	LogProb:-10.49881515738984
Palabra:save	Frec:5.0	LogProb:-10.093350049281677
Palabra:Pussy	Frec:3.0	LogProb:-10.49881515738984
Palabra:JUGGERNAUT	Frec:3.0	LogProb:-10.49881515738984
Palabra:blog:	Frec:2.0	LogProb:-10.786497229841622
Palabra:bothering	Frec:2.0	LogProb:-10.786497229841622
Palabra:tom	Frec:3.0	LogProb:-10.49881515738984
Palabra:top	Frec:9.0	LogProb:-9.582524425515684
Palabra:too	Frec:157.0	LogProb:-6.822514485482764
Palabra:gots	Frec:5.0	LogProb:-10.093350049281677
Palabra:have	Frec:415.0	LogProb:-5.854424258248468
Palabra:rotf	Frec:2.0	LogProb:-10.786497229841622
Palabra:talley	Frec:2.0	LogProb:-10.786497229841622
Palabra:obvious.	Frec:3.0	LogProb:-10.49881515738984
Palabra:blog.	Frec:2.0	LogProb:-10.786497229841622
Palabra:difference...plus	Frec:3.0	LogProb:-10.49881515738984
Palabra:shorts	Frec:3.0	LogProb:-10.49881515738984
Palabra:own.	Frec:1.0	LogProb:-11.191962337949786
Palabra:forums.	Frec:3.0	LogProb:-10.49881515738984
Palabra:toy	Frec:3.0	LogProb:-10.49881515738984
Palabra:ok...	Frec:5.0	LogProb:-10.093350049281677
Palabra:famous	Frec:1.0	LogProb:-11.191962337949786
Palabra:question	Frec:5.0	LogProb:-10.093350049281677
Palabra:drugs	Frec:3.0	LogProb:-10.49881515738984
Palabra:asian	Frec:11.0	LogProb:-9.400202868721731
Palabra:spirit	Frec:6.0	LogProb:-9.939199369454418
Palabra:pimp	Frec:2.0	LogProb:-10.786497229841622
Palabra:whirlpool	Frec:2.0	LogProb:-10.786497229841622
Palabra:drugz	Frec:3.0	LogProb:-10.49881515738984
Palabra:Grosss	Frec:2.0	LogProb:-10.786497229841622
Palabra:picture	Frec:16.0	LogProb:-9.051896174453514
Palabra:sarcastic	Frec:3.0	LogProb:-10.49881515738984
Palabra:SON	Frec:4.0	LogProb:-10.27567160607563
Palabra:market.	Frec:3.0	LogProb:-10.49881515738984
Palabra:alone(:	Frec:1.0	LogProb:-11.191962337949786
Palabra:ain't	Frec:9.0	LogProb:-9.582524425515684
Palabra:falafel	Frec:2.0	LogProb:-10.786497229841622
Palabra:thousand	Frec:2.0	LogProb:-10.786497229841622
Palabra:All	Frec:15.0	LogProb:-9.11252079626995
Palabra:Gaza	Frec:2.0	LogProb:-10.786497229841622
Palabra:cop	Frec:8.0	LogProb:-9.687884941173511
Palabra:cos	Frec:4.0	LogProb:-10.27567160607563
Palabra:~*Krystle*~	Frec:3.0	LogProb:-10.49881515738984
Palabra:Dirt	Frec:2.0	LogProb:-10.786497229841622
Palabra:fuckers	Frec:2.0	LogProb:-10.786497229841622
Palabra:things...	Frec:3.0	LogProb:-10.49881515738984
Palabra:cow	Frec:6.0	LogProb:-9.939199369454418
Palabra:sunset...	Frec:3.0	LogProb:-10.49881515738984
Palabra:coz	Frec:5.0	LogProb:-10.093350049281677
Palabra:Thad	Frec:1.0	LogProb:-11.191962337949786
Palabra:Copyright	Frec:2.0	LogProb:-10.786497229841622
Palabra:fuckery	Frec:3.0	LogProb:-10.49881515738984
Palabra:BOB	Frec:3.0	LogProb:-10.49881515738984
Palabra:time.	Frec:30.0	LogProb:-8.451122314024584
Palabra:Mayag.	Frec:2.0	LogProb:-10.786497229841622
Palabra:for..	Frec:2.0	LogProb:-10.786497229841622
Palabra:owns	Frec:2.0	LogProb:-10.786497229841622
Palabra:leakage.	Frec:2.0	LogProb:-10.786497229841622
Palabra:pipe	Frec:3.0	LogProb:-10.49881515738984
Palabra:Angels	Frec:3.0	LogProb:-10.49881515738984
Palabra:Thai	Frec:3.0	LogProb:-10.49881515738984
Palabra:Disk	Frec:3.0	LogProb:-10.49881515738984
Palabra:sneaky	Frec:3.0	LogProb:-10.49881515738984
Palabra:including	Frec:6.0	LogProb:-9.939199369454418
Palabra:BOO	Frec:4.0	LogProb:-10.27567160607563
Palabra:Courtesy	Frec:3.0	LogProb:-10.49881515738984
Palabra:hawt	Frec:3.0	LogProb:-10.49881515738984
Palabra:BOT	Frec:3.0	LogProb:-10.49881515738984
Palabra:tre	Frec:2.0	LogProb:-10.786497229841622
Palabra:grassroots	Frec:3.0	LogProb:-10.49881515738984
Palabra:plenty	Frec:6.0	LogProb:-9.939199369454418
Palabra:(yes	Frec:2.0	LogProb:-10.786497229841622
Palabra:christmas	Frec:4.0	LogProb:-10.27567160607563
Palabra:BOY	Frec:2.0	LogProb:-10.786497229841622
